timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20160817_170050 50 1 1 2 100000 817713633 8223 10000 1777 0 0 8223 0 0 0 0 0 0 0 0 100 0 0 1 0 12.011 8.547 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed817713633.log 3566138 hl-extractinstructions.txt 20160817_170128 0.5 57b1e6cf9c0cd80528e07d5b
20160817_170056 50 1 1 2 100000 519606501 8216 10000 1784 0 0 8216 0 0 0 0 0 0 0 0 100 0 0 1 0 11.417 8.484 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed519606501.log 3554385 hl-extractinstructions.txt 20160817_170133 0.5 57b1e6cf9c0cd80528e07d5c
20160817_170111 50 1 1 2 100000 715258232 8238 10000 1762 0 0 8238 0 0 0 0 0 0 0 0 100 0 0 1 0 12.996 9.687 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed715258232.log 3573062 hl-extractinstructions.txt 20160817_170149 0.5 57b1e6cf9c0cd80528e07d5d
20160817_170128 50 1 1 2 100000 792850679 8251 10000 1749 0 0 8251 0 0 0 0 0 0 0 0 100 0 0 1 0 11.050 7.922 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed792850679.log 3565615 hl-extractinstructions.txt 20160817_170203 0.5 57b1e6cf9c0cd80528e07d5e
20160817_170144 50 1 2 2 100000 919028296 6778 10000 324 2898 0 6778 0 0 0 0 0 0 0 0 100 0 0 1 0 22.910 18.282 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 5697248 hl-extractinstructions.txt 20160817_170242 0.5 57b1e6cf9c0cd80528e07d5f
20160817_170200 50 1 2 2 100000 103765041 6729 10000 327 2944 0 6729 0 0 0 0 0 0 0 0 100 0 0 1 0 23.672 18.61 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 5678339 hl-extractinstructions.txt 20160817_170302 0.5 57b1e6cf9c0cd80528e07d60
20160817_170205 50 1 2 2 100000 141246882 6706 10000 329 2965 0 6706 0 0 0 0 0 0 0 0 100 0 0 1 0 21.890 17.922 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 5680880 hl-extractinstructions.txt 20160817_170306 0.5 57b1e6cf9c0cd80528e07d61
20160817_170231 50 1 2 2 100000 681028781 6807 10000 295 2898 0 6807 0 0 0 0 0 0 0 0 100 0 0 1 0 25.434 20.312 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 5701294 hl-extractinstructions.txt 20160817_170328 0.5 57b1e6cf9c0cd80528e07d62
20160817_170259 50 1 2 2 100000 117661523 6808 10000 309 2883 0 6808 0 0 0 0 0 0 0 0 100 0 0 1 0 20.692 16.329 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 5703332 hl-extractinstructions.txt 20160817_170357 0.5 57b1e6cf9c0cd80528e07d63
20160817_170324 50 1 2 2 100000 105731136 6778 10000 304 2918 0 6778 0 0 0 0 0 0 0 0 100 0 0 1 0 24.891 19.828 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 5723220 hl-extractinstructions.txt 20160817_170425 0.5 57b1e6cf9c0cd80528e07d64
20160817_170330 50 1 2 2 100000 967561224 6843 10000 320 2837 0 6843 0 0 0 0 0 0 0 0 100 0 0 1 0 25.353 19.89 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed967561224.log 5746469 hl-extractinstructions.txt 20160817_170432 0.5 57b1e6cf9c0cd80528e07d65
20160817_170357 50 1 2 2 100000 420477893 6752 10000 303 2945 0 6752 0 0 0 0 0 0 0 0 100 0 0 1 0 23.152 18.626 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed420477893.log 5690462 hl-extractinstructions.txt 20160817_170450 0.5 57b1e6cf9c0cd80528e07d66
20160817_170423 50 1 2 2 100000 263688301 6731 10000 309 2960 0 6731 0 0 0 0 0 0 0 0 100 0 0 1 0 20.435 16.171 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed263688301.log 5692948 hl-extractinstructions.txt 20160817_170518 0.5 57b1e6cf9c0cd80528e07d67
20160817_170449 50 1 2 2 100000 50746969 6732 10000 347 2921 0 6732 0 0 0 0 0 0 0 0 100 0 0 1 0 23.771 19.234 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed50746969.log 5658884 hl-extractinstructions.txt 20160817_170547 0.5 57b1e6cf9c0cd80528e07d68
20160817_170454 50 1 2 2 100000 533657980 6823 10000 322 2855 0 6823 0 0 0 0 0 0 0 0 100 0 0 1 0 23.613 18.937 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed533657980.log 5717905 hl-extractinstructions.txt 20160817_170553 0.5 57b1e6cf9c0cd80528e07d69
20160817_170520 50 1 2 2 100000 711283608 6785 10000 312 2903 0 6785 0 0 0 0 0 0 0 0 100 0 0 1 0 22.503 18.235 ../hl/a0/log/doc50cop2shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed711283608.log 5715629 hl-extractinstructions.txt 20160817_170617 0.5 57b1e6cf9c0cd80528e07d6a
