timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150729_204840 50 1 1 10 100000 792850679 3988 10000 6012 0 3922 3988 39 2500 1 3922 0 3922 3922 30000 100 0 0 0 70.027 20.202 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 3485411 q3-extractinstructions.txt 20150729_205018 0.5 55b2afeb7768392c683f0507
20150729_204754 50 1 1 10 100000 817713633 10000 10000 0 0 683 10000 39 2500 1 683 0 683 10000 30000 100 0 0 2 101.300 23.837 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 6416070 q3-extractinstructions.txt 20150729_205021 0.5 55b2afeb7768392c683f0504
20150729_204802 50 1 1 10 100000 519606501 10000 10000 0 0 483 10000 39 2500 1 483 0 483 10000 30000 100 0 0 2 100.513 24.134 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 6558194 q3-extractinstructions.txt 20150729_205029 0.5 55b2afeb7768392c683f0505
20150729_204816 50 1 1 10 100000 715258232 10000 10000 0 0 106 10000 39 2500 1 106 0 106 10000 30000 100 0 0 2 89.532 23.041 ../Q3/./log/doc50cop1shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 5990720 q3-extractinstructions.txt 20150729_205029 0.5 55b2afeb7768392c683f0506
20150729_204919 50 1 2 10 100000 141246882 402 10000 0 5938 9878 402 39 2500 1 9230 8912 318 280 30000 100 0 0 3 176.151 46.223 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 12388878 q3-extractinstructions.txt 20150729_205329 0.5 55b2afeb7768392c683f050a
20150729_204902 50 1 2 10 100000 103765041 516 10000 0 5603 9998 516 39 2500 1 8765 8197 568 514 30000 100 0 0 4 250.073 54.693 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 18120487 q3-extractinstructions.txt 20150729_205511 0.5 55b2afeb7768392c683f0509
20150729_205029 50 1 2 10 100000 117661523 402 10000 0 5773 9999 402 39 2500 1 9002 8555 447 401 30000 100 0 0 3 202.258 53.259 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 15261708 q3-extractinstructions.txt 20150729_205539 0.5 55b2afeb7768392c683f050c
20150729_205039 50 1 2 10 100000 967561224 412 10000 0 5733 9999 412 39 2500 1 8971 8508 463 411 30000 100 0 0 3 200.499 51.996 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 15227770 q3-extractinstructions.txt 20150729_205550 0.5 55b2afeb7768392c683f050e
20150729_204845 50 1 2 10 100000 919028296 673 10000 0 5490 10000 673 39 2500 1 8719 7999 720 673 30000 100 0 0 5 280.181 56.145 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 20980452 q3-extractinstructions.txt 20150729_205551 0.5 55b2afeb7768392c683f0508
20150729_204943 50 1 2 10 100000 681028781 648 10000 0 5485 10000 648 39 2500 1 8636 7945 691 648 30000 100 0 0 5 294.086 61.745 ../Q3/./log/doc50cop2shlf1lif10_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 21023368 q3-extractinstructions.txt 20150729_205709 0.5 55b2afeb7768392c683f050b
