timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20150730_012934 50 1 4 20 100000 792850679 0 10000 0 5986 10000 0 39 2500 1 9164 9152 12 0 30000 100 0 0 9 541.814 111.884 ../Q3/./log/doc50cop4shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 33595271 q3-extractinstructions.txt 20150730_014249 0.5 55b2afeb7768392c683f05c4
20150730_013720 50 1 5 20 100000 681028781 0 10000 0 9904 307 0 39 2500 1 11981 11941 40 0 30000 100 0 0 5 479.281 129.559 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 22951794 q3-extractinstructions.txt 20150730_014805 0.5 55b2afeb7768392c683f05c8
20150730_013049 50 1 5 20 100000 919028296 0 10000 0 6688 10000 0 39 2500 1 11388 11137 251 0 30000 100 0 0 13 764.782 161.101 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 46056782 q3-extractinstructions.txt 20150730_014920 0.5 55b2afeb7768392c683f05c5
20150730_013144 50 1 5 20 100000 103765041 0 10000 0 6686 10000 0 39 2500 1 11229 10878 351 0 30000 100 0 0 15 777.757 157.873 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 47103652 q3-extractinstructions.txt 20150730_015033 0.5 55b2afeb7768392c683f05c6
20150730_013654 50 1 5 20 100000 141246882 0 10000 0 6723 10000 0 39 2500 1 11462 11318 144 0 30000 100 0 0 10 658.683 142.351 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 32958997 q3-extractinstructions.txt 20150730_015138 0.5 55b2afeb7768392c683f05c7
20150730_014308 50 1 5 20 100000 420477893 0 10000 0 9919 297 0 39 2500 1 11973 11951 22 0 30000 100 0 0 4 453.699 117.172 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 19869033 q3-extractinstructions.txt 20150730_015249 0.5 55b2afeb7768392c683f05cc
20150730_014253 50 1 5 20 100000 967561224 0 10000 0 6865 10000 0 39 2500 1 11586 11558 28 0 30000 100 0 0 7 584.980 121.821 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 28832883 q3-extractinstructions.txt 20150730_015550 0.5 55b2afeb7768392c683f05cb
20150730_014132 50 1 5 20 100000 117661523 0 10000 0 6798 10000 0 39 2500 1 11579 11346 233 0 30000 100 0 0 9 653.822 129.435 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 33895021 q3-extractinstructions.txt 20150730_015617 0.5 55b2afeb7768392c683f05c9
20150730_015149 50 1 5 20 100000 711283608 0 10000 0 9903 321 0 39 2500 1 11889 11870 19 0 30000 100 0 0 4 358.389 122.008 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 19871840 q3-extractinstructions.txt 20150730_020008 0.5 55b2afeb7768392c683f05d0
20150730_014344 50 1 5 20 100000 263688301 0 10000 0 6636 10000 0 39 2500 1 11462 11049 413 0 30000 100 0 0 11 727.839 136.204 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 39013833 q3-extractinstructions.txt 20150730_020038 0.5 55b2afeb7768392c683f05cd
20150730_014208 50 1 5 20 100000 105731136 0 10000 0 6639 10000 0 39 2500 1 11289 10893 396 0 30000 100 0 0 14 830.297 150.322 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 48065410 q3-extractinstructions.txt 20150730_020152 0.5 55b2afeb7768392c683f05ca
20150730_015043 50 1 5 20 100000 533657980 0 10000 0 6826 10000 0 39 2500 1 11646 11600 46 0 30000 100 0 0 9 648.839 142.959 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 34932894 q3-extractinstructions.txt 20150730_020606 0.5 55b2afeb7768392c683f05cf
20150730_015235 50 1 5 20 100000 597296547 0 10000 0 6769 10000 0 39 2500 1 11412 11186 226 0 30000 100 0 0 9 594.528 138.451 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 33821550 q3-extractinstructions.txt 20150730_020643 0.5 55b2afeb7768392c683f05d1
20150730_015629 50 1 5 20 100000 258760793 0 10000 0 9913 317 0 39 2500 1 11985 11967 18 0 30000 100 0 0 5 471.923 122.57 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 22964550 q3-extractinstructions.txt 20150730_020707 0.5 55b2afeb7768392c683f05d3
20150730_014927 50 1 5 20 100000 50746969 0 10000 0 6700 10000 0 39 2500 1 11298 10880 418 0 30000 100 0 0 13 785.551 148.154 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 44993367 q3-extractinstructions.txt 20150730_020817 0.5 55b2afeb7768392c683f05ce
20150730_015604 50 1 5 20 100000 664375964 0 10000 0 6873 10000 0 39 2500 1 11683 11628 55 0 30000 100 0 0 9 678.301 143.568 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed664375964.log 34918636 q3-extractinstructions.txt 20150730_021117 0.5 55b2afeb7768392c683f05d2
20150730_015757 50 1 5 20 100000 666549275 0 10000 0 6760 10000 0 39 2500 1 11255 11084 171 0 30000 100 0 0 14 753.583 156.656 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 44654547 q3-extractinstructions.txt 20150730_021626 0.5 55b2afeb7768392c683f05d4
20150730_020237 50 1 5 20 100000 519606501 0 10000 0 6724 10000 0 39 2500 1 11373 11139 234 0 30000 100 0 0 12 587.200 162.256 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 36974709 q3-extractinstructions.txt 20150730_021654 0.5 55b2afeb7768392c683f05d7
20150730_020045 50 1 5 20 100000 376517787 0 10000 0 6717 10000 0 39 2500 1 11201 11151 50 0 30000 100 0 0 13 723.212 168.123 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed376517787.log 46902682 q3-extractinstructions.txt 20150730_021838 0.5 55b2afeb7768392c683f05d5
20150730_020712 50 1 5 20 100000 792850679 0 10000 0 6663 10000 0 39 2500 1 11480 11094 386 0 30000 100 0 0 11 607.130 150.37 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 39004101 q3-extractinstructions.txt 20150730_022209 0.5 55b2afeb7768392c683f05d9
20150730_020141 50 1 5 20 100000 817713633 0 10000 0 6454 10000 0 39 2500 1 10817 10197 620 0 30000 100 0 0 19 911.420 182.178 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 59470914 q3-extractinstructions.txt 20150730_022436 0.5 55b2afeb7768392c683f05d6
20150730_020647 50 1 5 20 100000 715258232 0 10000 0 6695 10000 0 39 2500 1 11219 10799 420 0 30000 100 0 0 16 777.435 174.113 ../Q3/./log/doc50cop5shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 51103801 q3-extractinstructions.txt 20150730_022618 0.5 55b2afeb7768392c683f05d8
20150730_021036 50 1 8 20 100000 103765041 0 10000 0 8385 10000 0 39 2500 1 18391 18391 0 0 30000 100 0 0 17 889.129 249.102 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 55117084 q3-extractinstructions.txt 20150730_023256 0.5 55b2afeb7768392c683f05db
20150730_021704 50 1 8 20 100000 681028781 0 10000 0 8452 10000 0 39 2500 1 18771 18771 0 0 30000 100 0 0 11 690.457 239.165 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 43820996 q3-extractinstructions.txt 20150730_023432 0.5 55b2afeb7768392c683f05dd
20150730_021730 50 1 8 20 100000 117661523 0 10000 0 8465 10000 0 39 2500 1 18784 18784 0 0 30000 100 0 0 12 759.319 245.997 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 45878916 q3-extractinstructions.txt 20150730_023615 0.5 55b2afeb7768392c683f05de
20150730_020728 50 1 8 20 100000 919028296 nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound 30000 100 0 0 novaluefound nolinefound nolinefound ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 74436484 q3-extractinstructions.txt 20150730_023633 0.5 55b2afeb7768392c683f05da
20150730_021234 50 1 8 20 100000 141246882 nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound 30000 100 0 0 novaluefound nolinefound nolinefound ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 61542385 q3-extractinstructions.txt 20150730_023753 0.5 55b2afeb7768392c683f05dc
20150730_022448 50 1 8 20 100000 967561224 0 10000 0 8457 10000 0 39 2500 1 18710 18710 0 0 30000 100 0 0 12 852.864 246.654 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 44728946 q3-extractinstructions.txt 20150730_024443 0.5 55b2afeb7768392c683f05e0
20150730_022534 50 1 8 20 100000 420477893 0 10000 0 8509 10000 0 39 2500 1 19014 19014 0 0 30000 100 0 0 12 841.298 235.265 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 44827006 q3-extractinstructions.txt 20150730_024519 0.5 55b2afeb7768392c683f05e1
20150730_022220 50 1 8 20 100000 105731136 0 10000 0 8399 10000 0 39 2500 1 18122 18122 0 0 30000 100 0 0 21 1106.192 277.23 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 65723641 q3-extractinstructions.txt 20150730_024922 0.5 55b2afeb7768392c683f05df
20150730_023640 50 1 8 20 100000 711283608 0 10000 0 8513 10000 0 39 2500 1 18851 18851 0 0 30000 100 0 0 9 681.712 211.256 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 38667851 q3-extractinstructions.txt 20150730_025233 0.5 55b2afeb7768392c683f05e5
20150730_023626 50 1 8 20 100000 533657980 0 10000 0 8501 10000 0 39 2500 1 18861 18861 0 0 30000 100 0 0 15 862.021 221.022 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 49010207 q3-extractinstructions.txt 20150730_025710 0.5 55b2afeb7768392c683f05e4
20150730_022843 50 1 8 20 100000 263688301 0 10000 0 8357 10000 0 39 2500 1 18029 18021 8 0 30000 100 0 0 20 1209.185 254.5 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 66939368 q3-extractinstructions.txt 20150730_025755 0.5 55b2afeb7768392c683f05e2
20150730_023437 50 1 8 20 100000 50746969 0 10000 0 8394 10000 0 39 2500 1 18392 18392 0 0 30000 100 0 0 18 1090.234 242.004 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 61997057 q3-extractinstructions.txt 20150730_030110 0.5 55b2afeb7768392c683f05e3
20150730_023807 50 1 8 20 100000 597296547 0 10000 0 8440 10000 0 39 2500 1 18413 18403 10 0 30000 100 0 0 15 1030.099 221.942 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 54784354 q3-extractinstructions.txt 20150730_030233 0.5 55b2afeb7768392c683f05e6
20150730_024525 50 1 8 20 100000 258760793 0 10000 0 8498 10000 0 39 2500 1 18619 18619 0 0 30000 100 0 0 13 940.300 216.997 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 48860107 q3-extractinstructions.txt 20150730_030716 0.5 55b2afeb7768392c683f05e8
20150730_023944 50 1 8 20 100000 664375964 0 10000 0 8363 10000 0 39 2500 1 18215 18215 0 0 30000 100 0 0 21 1223.380 234.969 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed664375964.log 65934637 q3-extractinstructions.txt 20150730_030858 0.5 55b2afeb7768392c683f05e7
20150730_030724 50 1 1 30 100000 919028296 10000 10000 0 0 0 10000 39 2500 1 0 0 0 10000 30000 100 0 0 2 98.588 29.062 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 5913313 q3-extractinstructions.txt 20150730_030949 0.5 55b2afeb7768392c683f05ef
20150730_030800 50 1 1 30 100000 103765041 10000 10000 0 0 176 10000 39 2500 1 176 0 176 10000 30000 100 0 0 2 105.096 27.254 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 5979549 q3-extractinstructions.txt 20150730_031035 0.5 55b2afeb7768392c683f05f0
20150730_030958 50 1 1 30 100000 141246882 1516 10000 8484 0 1487 1516 39 2500 1 1487 0 1487 1487 30000 100 0 0 0 43.626 22.776 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 1304500 q3-extractinstructions.txt 20150730_031057 0.5 55b2afeb7768392c683f05f1
20150730_031109 50 1 1 30 100000 117661523 1514 10000 8486 0 1460 1514 39 2500 1 1460 0 1460 1460 30000 100 0 0 0 45.121 22.136 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 1289189 q3-extractinstructions.txt 20150730_031210 0.5 55b2afeb7768392c683f05f3
20150730_031043 50 1 1 30 100000 681028781 10000 10000 0 0 38 10000 39 2500 1 38 0 38 10000 30000 100 0 0 2 94.338 29.842 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 5925227 q3-extractinstructions.txt 20150730_031309 0.5 55b2afeb7768392c683f05f2
20150730_031232 50 1 1 30 100000 967561224 1516 10000 8484 0 1482 1516 39 2500 1 1482 0 1482 1482 30000 100 0 0 0 64.024 25.21 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 1304143 q3-extractinstructions.txt 20150730_031354 0.5 55b2afeb7768392c683f05f5
20150730_031125 50 1 1 30 100000 105731136 10000 10000 0 9911 1368 10000 39 2500 1 1368 0 1368 10000 30000 100 0 0 1 160.147 26.925 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 6290518 q3-extractinstructions.txt 20150730_031501 0.5 55b2afeb7768392c683f05f4
20150730_031400 50 1 1 30 100000 420477893 1536 10000 8464 0 1503 1536 39 2500 1 1503 0 1503 1503 30000 100 0 0 0 79.392 26.193 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 1329170 q3-extractinstructions.txt 20150730_031541 0.5 55b2afeb7768392c683f05f6
20150730_024935 50 1 8 20 100000 666549275 0 10000 0 8313 10000 0 39 2500 1 17846 17843 3 0 30000 100 0 0 21 1100.544 257.994 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 65749210 q3-extractinstructions.txt 20150730_031658 0.5 55b2afeb7768392c683f05e9
20150730_031416 50 1 1 30 100000 263688301 10000 10000 0 0 467 10000 39 2500 1 467 0 467 10000 30000 100 0 0 2 195.224 29.188 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 6075529 q3-extractinstructions.txt 20150730_031824 0.5 55b2afeb7768392c683f05f7
20150730_031556 50 1 1 30 100000 50746969 10000 10000 0 8988 538 10000 39 2500 1 538 0 538 10000 30000 100 0 0 1 159.593 25.287 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 6270782 q3-extractinstructions.txt 20150730_031929 0.5 55b2afeb7768392c683f05f8
20150730_025523 50 1 8 20 100000 817713633 0 10000 0 8405 10000 0 39 2500 1 18165 18159 6 0 30000 100 0 0 18 956.080 267.401 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 61886835 q3-extractinstructions.txt 20150730_031955 0.5 55b2afeb7768392c683f05eb
20150730_031845 50 1 1 30 100000 597296547 1498 10000 8502 0 1470 1498 39 2500 1 1470 0 1470 1470 30000 100 0 0 0 57.637 24.196 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 1291973 q3-extractinstructions.txt 20150730_032000 0.5 55b2afeb7768392c683f05fb
20150730_031713 50 1 1 30 100000 533657980 10000 10000 0 0 502 10000 39 2500 1 502 0 502 10000 30000 100 0 0 2 156.379 26.832 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 6060241 q3-extractinstructions.txt 20150730_032036 0.5 55b2afeb7768392c683f05f9
20150730_025759 50 1 8 20 100000 519606501 0 10000 0 8349 10000 0 39 2500 1 18203 18203 0 0 30000 100 0 0 18 885.826 261.208 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 57787742 q3-extractinstructions.txt 20150730_032041 0.5 55b2afeb7768392c683f05ec
20150730_031738 50 1 1 30 100000 711283608 10000 10000 0 0 863 10000 39 2500 1 863 0 863 10000 30000 100 0 0 2 160.875 27.58 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 6275913 q3-extractinstructions.txt 20150730_032109 0.5 55b2afeb7768392c683f05fa
20150730_032027 50 1 1 30 100000 258760793 1566 10000 8434 0 1532 1566 39 2500 1 1532 0 1532 1532 30000 100 0 0 0 52.088 21.778 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 1347978 q3-extractinstructions.txt 20150730_032136 0.5 55b2afeb7768392c683f05fd
20150730_031952 50 1 1 30 100000 664375964 10000 10000 0 8604 128 10000 39 2500 1 128 0 128 10000 30000 100 0 0 1 135.062 23.666 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed664375964.log 6230728 q3-extractinstructions.txt 20150730_032301 0.5 55b2afeb7768392c683f05fc
20150730_025244 50 1 8 20 100000 376517787 nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound 30000 100 0 0 novaluefound nolinefound nolinefound ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed376517787.log 75284059 q3-extractinstructions.txt 20150730_032300 0.5 55b2afeb7768392c683f05ea
20150730_032043 50 1 1 30 100000 666549275 10000 10000 0 0 652 10000 39 2500 1 652 0 652 10000 30000 100 0 0 2 147.623 24.773 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 6166155 q3-extractinstructions.txt 20150730_032404 0.5 55b2afeb7768392c683f05fe
20150730_032104 50 1 1 30 100000 817713633 10000 10000 0 0 214 10000 39 2500 1 214 0 214 10000 30000 100 0 0 2 140.866 27.253 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed817713633.log 6049132 q3-extractinstructions.txt 20150730_032420 0.5 55b2afeb7768392c683f0600
20150730_032059 50 1 1 30 100000 376517787 10000 10000 0 0 221 10000 39 2500 1 221 0 221 10000 30000 100 0 0 2 147.935 27.081 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed376517787.log 6210780 q3-extractinstructions.txt 20150730_032423 0.5 55b2afeb7768392c683f05ff
20150730_032322 50 1 1 30 100000 792850679 1553 10000 8447 0 1517 1553 39 2500 1 1517 0 1517 1517 30000 100 0 0 0 67.999 25.413 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 1330145 q3-extractinstructions.txt 20150730_032447 0.5 55b2afeb7768392c683f0603
20150730_032130 50 1 1 30 100000 519606501 10000 10000 0 0 166 10000 39 2500 1 166 0 166 10000 30000 100 0 0 2 168.256 23.4 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed519606501.log 5958439 q3-extractinstructions.txt 20150730_032506 0.5 55b2afeb7768392c683f0601
20150730_032216 50 1 1 30 100000 715258232 10000 10000 0 0 37 10000 39 2500 1 37 0 37 10000 30000 100 0 0 2 154.545 28.454 ../Q3/./log/doc50cop1shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 5923549 q3-extractinstructions.txt 20150730_032539 0.5 55b2afeb7768392c683f0602
20150730_030244 50 1 8 20 100000 792850679 0 10000 0 8435 10000 0 39 2500 1 18585 18585 0 0 30000 100 0 0 16 1089.111 258.135 ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 54852851 q3-extractinstructions.txt 20150730_032748 0.5 55b2afeb7768392c683f05ee
20150730_032456 50 1 2 30 100000 681028781 130 10000 0 2627 9962 130 39 2500 1 3126 3030 96 92 30000 100 0 0 3 199.636 42.307 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed681028781.log 9039811 q3-extractinstructions.txt 20150730_032916 0.5 55b2afeb7768392c683f0607
20150730_032410 50 1 2 30 100000 919028296 184 10000 0 2476 10000 184 39 2500 1 3036 2842 194 184 30000 100 0 0 4 308.893 45.911 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed919028296.log 15042053 q3-extractinstructions.txt 20150730_033107 0.5 55b2afeb7768392c683f0604
20150730_032450 50 1 2 30 100000 141246882 153 10000 0 2510 10000 153 39 2500 1 3036 2878 158 153 30000 100 0 0 4 306.388 47.736 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed141246882.log 15092533 q3-extractinstructions.txt 20150730_033146 0.5 55b2afeb7768392c683f0606
20150730_032511 50 1 2 30 100000 117661523 218 10000 0 2473 9963 218 39 2500 1 3014 2831 183 181 30000 100 0 0 5 306.192 47.05 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed117661523.log 15036644 q3-extractinstructions.txt 20150730_033204 0.5 55b2afeb7768392c683f0608
20150730_030018 50 1 8 20 100000 715258232 nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound nolinefound 30000 100 0 0 novaluefound nolinefound nolinefound ../Q3/./log/doc50cop8shlf1lif20_af2500s1tTOTAL_gf30000i100d0m0_seed715258232.log 73680462 q3-extractinstructions.txt 20150730_033218 0.5 55b2afeb7768392c683f05ed
20150730_032820 50 1 2 30 100000 420477893 140 10000 0 2657 9957 140 39 2500 1 3162 3064 98 97 30000 100 0 0 3 218.955 46.052 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed420477893.log 9040836 q3-extractinstructions.txt 20150730_033308 0.5 55b2afeb7768392c683f060b
20150730_032755 50 1 2 30 100000 967561224 137 10000 0 2529 10000 137 39 2500 1 3009 2863 146 137 30000 100 0 0 3 261.761 44.694 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed967561224.log 12022627 q3-extractinstructions.txt 20150730_033344 0.5 55b2afeb7768392c683f060a
20150730_032547 50 1 2 30 100000 105731136 181 10000 0 2468 10000 181 39 2500 1 3017 2832 185 181 30000 100 0 0 5 367.085 47.378 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed105731136.log 18076760 q3-extractinstructions.txt 20150730_033403 0.5 55b2afeb7768392c683f0609
20150730_032425 50 1 2 30 100000 103765041 261 10000 0 2356 10000 261 39 2500 1 2928 2663 265 261 30000 100 0 0 7 465.598 53.804 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed103765041.log 23291655 q3-extractinstructions.txt 20150730_033451 0.5 55b2afeb7768392c683f0605
20150730_033008 50 1 2 30 100000 263688301 143 10000 0 2526 10000 143 39 2500 1 3035 2889 146 143 30000 100 0 0 3 266.153 46.956 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed263688301.log 12003841 q3-extractinstructions.txt 20150730_033549 0.5 55b2afeb7768392c683f060c
20150730_033413 50 1 2 30 100000 258760793 44 10000 0 9935 129 44 39 2500 1 3292 3242 50 44 30000 100 0 0 1 120.803 41.168 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed258760793.log 6087910 q3-extractinstructions.txt 20150730_033700 0.5 55b2afeb7768392c683f0612
20150730_033226 50 1 2 30 100000 711283608 138 10000 0 2572 10000 138 39 2500 1 3118 2973 145 138 30000 100 0 0 3 230.305 52.121 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed711283608.log 12088132 q3-extractinstructions.txt 20150730_033740 0.5 55b2afeb7768392c683f060f
20150730_033210 50 1 2 30 100000 533657980 184 10000 0 2616 9957 184 39 2500 1 3177 3026 151 141 30000 100 0 0 4 248.045 53.618 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed533657980.log 13164440 q3-extractinstructions.txt 20150730_033749 0.5 55b2afeb7768392c683f060e
20150730_033155 50 1 2 30 100000 50746969 164 10000 0 2442 10000 164 39 2500 1 2983 2814 169 164 30000 100 0 0 4 270.665 49.826 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed50746969.log 15038274 q3-extractinstructions.txt 20150730_033809 0.5 55b2afeb7768392c683f060d
20150730_033322 50 1 2 30 100000 597296547 173 10000 0 2512 10000 173 39 2500 1 3072 2893 179 173 30000 100 0 0 4 267.595 48.485 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed597296547.log 15055542 q3-extractinstructions.txt 20150730_033925 0.5 55b2afeb7768392c683f0610
20150730_033439 50 1 2 30 100000 666549275 141 10000 0 2571 10000 141 39 2500 1 3115 2969 146 141 30000 100 0 0 3 223.502 48.735 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed666549275.log 12065346 q3-extractinstructions.txt 20150730_033940 0.5 55b2afeb7768392c683f0613
20150730_033819 50 1 2 30 100000 792850679 84 10000 0 9944 151 84 39 2500 1 3231 3141 90 84 30000 100 0 0 2 171.862 44.149 ../Q3/./log/doc50cop2shlf1lif30_af2500s1tTOTAL_gf30000i100d0m0_seed792850679.log 9105035 q3-extractinstructions.txt 20150730_034216 0.5 55b2afeb7768392c683f0618
