timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20161005_185848 50 1 1 1000 100000 817713633 37 10000 9963 0 0 37 0 0 0 0 0 0 0 0 100 0 0 1 0 1.698 0.015 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed817713633.log 26306 hl-extractinstructions.txt 20161005_185858 0.5 57f4466f7768391e5c34bcb4
20161005_185853 50 1 1 1000 100000 519606501 34 10000 9966 0 0 34 0 0 0 0 0 0 0 0 100 0 0 1 0 1.789 0.047 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed519606501.log 25132 hl-extractinstructions.txt 20161005_185903 0.5 57f4466f7768391e5c34bcb5
20161005_185859 50 1 1 1000 100000 715258232 27 10000 9973 0 0 27 0 0 0 0 0 0 0 0 100 0 0 1 0 1.689 0.031 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed715258232.log 22755 hl-extractinstructions.txt 20161005_185908 0.5 57f4466f7768391e5c34bcb6
20161005_185904 50 1 1 1000 100000 792850679 33 10000 9967 0 0 33 0 0 0 0 0 0 0 0 100 0 0 1 0 1.747 0.031 ../hl/a0/log/doc50cop1shlf1lif1000_af0s1tTOTAL_gf0i100d0m0s1_seed792850679.log 24744 hl-extractinstructions.txt 20161005_185913 0.5 57f4466f7768391e5c34bcb7
20161005_185909 50 1 1 2000 100000 919028296 23 10000 9977 0 0 23 0 0 0 0 0 0 0 0 100 0 0 1 0 1.680 0.015 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed919028296.log 19842 hl-extractinstructions.txt 20161005_185918 0.5 57f4466f7768391e5c34bd4b
20161005_185914 50 1 1 2000 100000 103765041 19 10000 9981 0 0 19 0 0 0 0 0 0 0 0 100 0 0 1 0 1.753 0.016 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed103765041.log 18951 hl-extractinstructions.txt 20161005_185924 0.5 57f4466f7768391e5c34bd4c
20161005_185919 50 1 1 2000 100000 141246882 17 10000 9983 0 0 17 0 0 0 0 0 0 0 0 100 0 0 1 0 1.711 0.0 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed141246882.log 17784 hl-extractinstructions.txt 20161005_185929 0.5 57f4466f7768391e5c34bd4d
20161005_185925 50 1 1 2000 100000 681028781 21 10000 9979 0 0 21 0 0 0 0 0 0 0 0 100 0 0 1 0 1.724 0.0 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed681028781.log 19447 hl-extractinstructions.txt 20161005_185934 0.5 57f4466f7768391e5c34bd4e
20161005_185930 50 1 1 2000 100000 117661523 19 10000 9981 0 0 19 0 0 0 0 0 0 0 0 100 0 0 1 0 1.674 0.016 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed117661523.log 18851 hl-extractinstructions.txt 20161005_185939 0.5 57f4466f7768391e5c34bd4f
20161005_185935 50 1 1 2000 100000 105731136 27 10000 9973 0 0 27 0 0 0 0 0 0 0 0 100 0 0 1 0 1.756 0.031 ../hl/a0/log/doc50cop1shlf1lif2000_af0s1tTOTAL_gf0i100d0m0s1_seed105731136.log 21802 hl-extractinstructions.txt 20161005_185944 0.5 57f4466f7768391e5c34bd50
