timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife glitchspan nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20161009_170223 50 1 1 2 100000 817713633 8223 10000 1777 0 0 8223 0 0 0 0 0 0 0 0 100 0 0 1 0 49.342 9.298 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed817713633.log 3566138 hl-extractinstructions.txt 20161009_170336 0.5 57faaad17768393a5cc15407
20161009_170227 50 1 1 2 100000 519606501 8216 10000 1784 0 0 8216 0 0 0 0 0 0 0 0 100 0 0 1 0 46.109 9.969 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed519606501.log 3554385 hl-extractinstructions.txt 20161009_170337 0.5 57faaad17768393a5cc15408
20161009_170247 50 1 1 2 100000 715258232 8238 10000 1762 0 0 8238 0 0 0 0 0 0 0 0 100 0 0 1 0 40.184 9.062 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed715258232.log 3573062 hl-extractinstructions.txt 20161009_170353 0.5 57faaad17768393a5cc15409
20161009_170249 50 1 1 2 100000 792850679 8251 10000 1749 0 0 8251 0 0 0 0 0 0 0 0 100 0 0 1 0 40.527 9.327 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed792850679.log 3565615 hl-extractinstructions.txt 20161009_170355 0.5 57faaad17768393a5cc1540a
20161009_170251 50 1 1 2 100000 969331491 8250 10000 1750 0 0 8250 0 0 0 0 0 0 0 0 100 0 0 1 0 41.329 9.172 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed969331491.log 3570600 hl-extractinstructions.txt 20161009_170358 0.5 57faaad17768393a5cc1540b
20161009_170254 50 1 1 2 100000 656627946 8189 10000 1811 0 0 8189 0 0 0 0 0 0 0 0 100 0 0 1 0 40.700 9.204 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed656627946.log 3544599 hl-extractinstructions.txt 20161009_170401 0.5 57faaad17768393a5cc1540c
20161009_170307 50 1 1 2 100000 985655050 8244 10000 1756 0 0 8244 0 0 0 0 0 0 0 0 100 0 0 1 0 42.315 8.953 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed985655050.log 3577327 hl-extractinstructions.txt 20161009_170414 0.5 57faaad17768393a5cc1540d
20161009_170318 50 1 1 2 100000 771297240 8234 10000 1766 0 0 8234 0 0 0 0 0 0 0 0 100 0 0 1 0 43.990 9.359 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed771297240.log 3566857 hl-extractinstructions.txt 20161009_170426 0.5 57faaad17768393a5cc1540e
20161009_170320 50 1 1 2 100000 488153710 8196 10000 1804 0 0 8196 0 0 0 0 0 0 0 0 100 0 0 1 0 44.030 8.797 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed488153710.log 3577477 hl-extractinstructions.txt 20161009_170429 0.5 57faaad17768393a5cc1540f
20161009_170344 50 1 1 2 100000 51492881 8206 10000 1794 0 0 8206 0 0 0 0 0 0 0 0 100 0 0 1 0 42.505 8.469 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed51492881.log 3560692 hl-extractinstructions.txt 20161009_170452 0.5 57faaad17768393a5cc15410
20161009_170357 50 1 1 2 100000 932031761 8268 10000 1732 0 0 8268 0 0 0 0 0 0 0 0 100 0 0 1 0 37.651 8.578 ../hl/a0/log/doc50cop1shlf1lif2_af0s1tTOTAL_gf0i100d0m0s1_seed932031761.log 3578820 hl-extractinstructions.txt 20161009_170502 0.5 57faaad17768393a5cc15411
